ID,URL,Brand,Variety,Style,Country,Stars
A1,https://amazon.com/Menraku-Variety-Tonkotsu-Sezchuan-Inspired/dp/B08FCXV1K9/ref=sr_1_2?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-2,Menraku,Variety Mix Flavors,Bowl,Japan,4.2
A2,https://amazon.com/Nissin-Demae-Garlic-Instant-Noodles/dp/B00CORJU5S/ref=sr_1_3?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-3,Nissin,Demae Black Garlic Oil Instant Ramen Noodles,Pack,United States,4.6
A3,https://amazon.com/Nissin-Raoh-Miso-3-77-Ounce/dp/B079TGH5B5/ref=sr_1_4?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-4,Nissin,"RAOH, Miso Flavor, Authentic Japanese-Style Ramen",Pack,Japan,4.5
A4,https://amazon.com/Japanese-populer-ICHIRAN-instant-tonkotsu/dp/B077T7HC88/ref=sr_1_5?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-5,Ichiran,Instant Noodles Tonkotsu (Japan Import),Pack,Japan,4.7
A5,https://amazon.com/Indomie-Instant-Noodles-Certified-Original/dp/B00HXIXWKM/ref=sr_1_6?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-6,Indomie,Mi Goreng Instant Stir Fry Noodles,Pack,Indonesia,4.8
A6,https://amazon.com/Nongshim-Spicy-Instant-Gourmet-Noodle/dp/B01N8XICPS/ref=sr_1_7?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-7,Nongshim,Shin Spicy Ramen Instant Gourmet Cup Noodle,Pack,South Korea,4.6
A7,https://amazon.com/Nissin-Demae-Variety-Tonkotsu-Flavor/dp/B00DU4DG2W/ref=sr_1_8?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-8,Nissin,Demae Ramen Variety Pack (Tonkotsu Series),Pack,United States,4.5
A8,https://amazon.com/Maruchan-Ramen-Roast-Beef-Ounce/dp/B00NMHIFCI/ref=sr_1_9?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-9,Maruchan,Ramen Roast Beef,Pack,United States,4.7
A9,https://amazon.com/Nissin-Demae-Instant-Noodle-Tonkotsu/dp/B07DKTQLK6/ref=sr_1_10?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-10,Nissin,Demae Ramen Instant Noodle Tonkotsu Pork with Galic Oil,Pack,United States,4.5
A10,https://amazon.com/Sapporo-Ichiban-Variety-Flavors-Tonkotsu/dp/B088YL1GX8/ref=sr_1_12?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-12,Sapporo Ichiban,Variety Flavors Mix Packs Instant Ramen Noodles,Pack,United States,4.6
A11,https://amazon.com/DREAM-KITCHEN-CUP-RAMEN-ASSORTED/dp/B07YCX9FYC/ref=sr_1_13?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-13,DREAM KITCHEN,RAMEN ASSORTED BOX,Cup,United States,4.2
A12,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0257902247XVZYBQ70DK&url=%2FMama-Instant-Noodle-Shrimp-Flavor%2Fdp%2FB008W9J0KC%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3Dinstant%2Bramen%26qid%3D1607155731%26sr%3D8-14-spons%26psc%3D1&qualifier=1607155731&id=5579779478771567&widgetName=sp_mtf,MAMA,SHRIMP TOM YUM Instant Cup of Noodles with Delicious Thai Flavors,Cup,Thailand,4.2
A13,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0720459EK23DIW6JC40&url=%2FHUONG-Instant-Noodles-Vietnamese-Ingredients%2Fdp%2FB086DGBX4Z%2Fref%3Dsr_1_15_sspa%3Fdchild%3D1%26keywords%3Dinstant%2Bramen%26qid%3D1607155731%26sr%3D8-15-spons%26psc%3D1&qualifier=1607155731&id=5579779478771567&widgetName=sp_mtf,VI HUONG,Authentic Vietnamese Instant Ramen Soup,Pack,Vietnam,4.4
A14,https://amazon.com/Thai-Kitchen-Instant-Variety-Minutes/dp/B07JW7T63F/ref=sr_1_17?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-17,Thai Kitchen ,Instant Rice Noodle Soup Variety Pack,Pack,United States,4.1
